"tag"	"n"	"est"	"lwr"	"upr"	"period"	"vari"
37	644	-0.159055836171042	-0.230377037534288	-0.0886547183258394	12.4	"cos"
38	214	0.52193554367299	0.451269627361775	0.590944383250796	NA	"int"
38	214	0.085702940794587	-0.0165772864714661	0.18792297383776	24	"sin"
38	214	-0.095182255317883	-0.191617774439543	-0.00102904388915294	24	"cos"
38	214	-0.0569123145858043	-0.159182715509206	0.0464986908155845	12.4	"sin"
38	214	-0.244431326939032	-0.341471317908035	-0.148687622698889	12.4	"cos"
39	898	0.534647448422692	0.497313616072379	0.571707560595476	NA	"int"
39	898	-0.00755389976579277	-0.0581320954343881	0.0437503246364864	24	"sin"
39	898	-0.0499569762008803	-0.102899270554593	0.00268982570086747	24	"cos"
39	898	-0.0304892235407241	-0.0862384874246121	0.024082319910964	12.4	"sin"
39	898	-0.291342516803128	-0.341093042566486	-0.240595235163935	12.4	"cos"
40	615	0.626124652141471	0.575284832297024	0.676349881707593	NA	"int"
40	615	0.00307864177518408	-0.0685586889585624	0.0736410041083618	24	"sin"
40	615	-0.00705143742802519	-0.0760753928091088	0.0617357946486309	24	"cos"
40	615	-0.0572869362609122	-0.11968091679705	0.00490826059308486	12.4	"sin"
40	615	-0.482805092402649	-0.555556280158696	-0.407934923048894	12.4	"cos"
41	756	0.409023522798364	0.368866194219064	0.448647865519921	NA	"int"
41	756	-0.0087877858168555	-0.0661722436972876	0.0481393693764796	24	"sin"
41	756	-0.0345831224114055	-0.0901657358555037	0.0212864514708462	24	"cos"
41	756	-0.0525128993281102	-0.105840512753162	0.00136877674505248	12.4	"sin"
41	756	-0.287773887292982	-0.344921454682949	-0.229634460152535	12.4	"cos"
42	888	0.336513748937189	0.289981843352549	0.382986194237394	NA	"int"
42	888	-0.00243314670322685	-0.0682061291796379	0.061275921161176	24	"sin"
42	888	0.0950797853408583	0.0314472903366192	0.159639921557123	24	"cos"
42	888	-0.0585769782663445	-0.124141543351405	0.00948490437087885	12.4	"sin"
42	888	-0.140238768818126	-0.201761396100134	-0.0762230834722063	12.4	"cos"
43	419	0.224525096870461	0.1587049364444	0.289164287208938	NA	"int"
43	419	-0.0235860736966477	-0.11917619577332	0.0693886912817381	24	"sin"
43	419	0.0486731587078732	-0.0414941844037451	0.137385296536129	24	"cos"
43	419	-0.00921046136859205	-0.0966191652434138	0.0785097853046036	12.4	"sin"
43	419	-0.145215919048764	-0.236237149395079	-0.0529779227370089	12.4	"cos"
44	969	0.549864975702566	0.520478347701901	0.57965692601069	NA	"int"
44	969	-0.00838193818795527	-0.0499775280208548	0.0338583621783474	24	"sin"
44	969	-0.0316765651564345	-0.0726019002535243	0.00878161069302248	24	"cos"
44	969	-0.0328611551460452	-0.0750649984585355	0.0087263037512782	12.4	"sin"
44	969	-0.354397946658936	-0.395961526388454	-0.312732859273214	12.4	"cos"
45	919	0.531381646931991	0.491801250611066	0.571582937973751	NA	"int"
45	919	-0.0230463761585137	-0.0772902053712941	0.0316654713413753	24	"sin"
45	919	0.0257074800203239	-0.0292662533321653	0.0833195045227497	24	"cos"
45	919	-0.0645722428594317	-0.120614740273589	-0.00878636788172372	12.4	"sin"
45	919	-0.375255447265926	-0.432110892570073	-0.319690024916788	12.4	"cos"
46	846	0.224154504509946	0.172240024421989	0.275605589667859	NA	"int"
46	846	-0.00225192823963886	-0.0769997522925149	0.0727911110080934	24	"sin"
46	846	0.164291303174616	0.0904367825891515	0.238534488680333	24	"cos"
46	846	0.07607143224298	0.00326498076407644	0.147651050292112	12.4	"sin"
46	846	-0.0367732394754777	-0.109759263681086	0.0365835375037707	12.4	"cos"
