Tag	Timestamp	Timestamp.loc	date	day	rhour	x	y	ClosestRoost
1	11-1-2013 11:30	11-1-2013 10:30	11-1-2013	34	10.5	364735.1563	2197852.625	1
1	11-1-2013 12:00	11-1-2013 11:00	11-1-2013	34	11	364415.0313	2197591.875	1
1	11-1-2013 12:30	11-1-2013 11:30	11-1-2013	34	11.5	364411.125	2197625.75	1
1	11-1-2013 13:00	11-1-2013 12:00	11-1-2013	34	12	364396.75	2197704	1
1	11-1-2013 13:30	11-1-2013 12:30	11-1-2013	34	12.5	364392.7969	2197736	1
1	11-1-2013 14:00	11-1-2013 13:00	11-1-2013	34	13	364365.5938	2197322	1
1	11-1-2013 14:30	11-1-2013 13:30	11-1-2013	34	13.5	364377.2188	2197740.25	1
1	11-1-2013 15:00	11-1-2013 14:00	11-1-2013	34	14	364374.5313	2197745.75	1
1	11-1-2013 15:30	11-1-2013 14:30	11-1-2013	34	14.5	364392.9688	2197761.25	1
1	11-1-2013 16:00	11-1-2013 15:00	11-1-2013	34	15	364395.5625	2197748	1
1	11-1-2013 16:30	11-1-2013 15:30	11-1-2013	34	15.5	364394.6563	2197614.25	1
1	11-1-2013 17:00	11-1-2013 16:00	11-1-2013	34	16	364374.4688	2197580.25	1
1	11-1-2013 17:30	11-1-2013 16:30	11-1-2013	34	16.5	364568.7188	2197831.5	1
1	11-1-2013 18:00	11-1-2013 17:00	11-1-2013	34	17	364695.5313	2197894.5	1
1	11-1-2013 18:30	11-1-2013 17:30	11-1-2013	34	17.5	364705.0625	2197899.125	1
1	11-1-2013 19:00	11-1-2013 18:00	11-1-2013	34	18	364723.8125	2197886.25	1
1	11-1-2013 19:30	11-1-2013 18:30	11-1-2013	34	18.5	364730.5625	2197891.5	1
1	11-1-2013 20:00	11-1-2013 19:00	11-1-2013	34	19	364703.5	2197887.25	1
1	11-1-2013 20:30	11-1-2013 19:30	11-1-2013	34	19.5	364734.4688	2197853.25	1
1	11-1-2013 21:00	11-1-2013 20:00	11-1-2013	34	20	364773.8125	2197528.25	1
1	11-1-2013 21:30	11-1-2013 20:30	11-1-2013	34	20.5	364769.2188	2197519.75	1
1	11-1-2013 22:00	11-1-2013 21:00	11-1-2013	34	21	364766.9688	2197522	1
1	11-1-2013 22:30	11-1-2013 21:30	11-1-2013	34	21.5	364778.4219	2197528	1
1	11-1-2013 23:00	11-1-2013 22:00	11-1-2013	34	22	364764.9063	2197497.5	1
1	11-1-2013 23:30	11-1-2013 22:30	11-1-2013	34	22.5	364417.8281	2197545.5	1
1	12-1-2013 00:00	11-1-2013 23:00	11-1-2013	34	23	364417.0938	2197584.625	1
1	12-1-2013 00:00	11-1-2013 23:00	11-1-2013	33	23	364414.5625	2197592.625	1
1	12-1-2013 00:30	11-1-2013 23:30	11-1-2013	33	23.5	364398.9688	2197661.875	1
1	12-1-2013 01:00	12-1-2013 00:00	12-1-2013	33	0	364396	2197740.75	1
1	12-1-2013 01:30	12-1-2013 00:30	12-1-2013	33	0.5	364388.0625	2197741.75	1
1	12-1-2013 02:00	12-1-2013 01:00	12-1-2013	33	1	364275.1875	2197451.25	1
1	12-1-2013 02:30	12-1-2013 01:30	12-1-2013	33	1.5	364293.8438	2197453.75	1
1	12-1-2013 05:00	12-1-2013 04:00	12-1-2013	33	4	364331.5625	2197633.25	1
1	12-1-2013 05:30	12-1-2013 04:30	12-1-2013	33	4.5	364388.3125	2197625.5	1
1	12-1-2013 06:00	12-1-2013 05:00	12-1-2013	33	5	364422.5938	2197587.5	1
1	12-1-2013 06:30	12-1-2013 05:30	12-1-2013	33	5.5	364811.2188	2197406.25	1
1	12-1-2013 07:00	12-1-2013 06:00	12-1-2013	33	6	364851.5938	2197368.75	1
1	12-1-2013 07:30	12-1-2013 06:30	12-1-2013	33	6.5	364818.6563	2197402.5	1
1	12-1-2013 08:00	12-1-2013 07:00	12-1-2013	33	7	364866.3125	2197590.625	1
1	12-1-2013 08:30	12-1-2013 07:30	12-1-2013	33	7.5	364386.0938	2198091.75	1
1	12-1-2013 09:00	12-1-2013 08:00	12-1-2013	33	8	364683.9688	2197938.25	1
1	12-1-2013 09:30	12-1-2013 08:30	12-1-2013	33	8.5	364697.4063	2197934.5	1
1	12-1-2013 10:00	12-1-2013 09:00	12-1-2013	33	9	364695.4375	2197955.5	1
1	12-1-2013 10:30	12-1-2013 09:30	12-1-2013	33	9.5	364724.9688	2197911.25	1
1	12-1-2013 11:00	12-1-2013 10:00	12-1-2013	33	10	364744.375	2197884.75	1
1	12-1-2013 11:30	12-1-2013 10:30	12-1-2013	33	10.5	364739.25	2197881.75	1
1	12-1-2013 12:00	12-1-2013 11:00	12-1-2013	33	11	364574.0313	2197815.25	1
1	12-1-2013 12:30	12-1-2013 11:30	12-1-2013	33	11.5	364453.5625	2197613.25	1
1	12-1-2013 13:00	12-1-2013 12:00	12-1-2013	33	12	364411.5625	2197599.25	1
1	12-1-2013 13:30	12-1-2013 12:30	12-1-2013	33	12.5	364428.9375	2197673	1
1	12-1-2013 14:00	12-1-2013 13:00	12-1-2013	33	13	364420.5781	2197743.5	1
